iter	Logloss
0	0.6852638438
1	0.6775487202
2	0.6701497196
3	0.6626775368
4	0.6554166527
5	0.6483118806
6	0.641254047
7	0.6344567501
8	0.6276539046
9	0.6210275661
10	0.6145770349
11	0.6083447506
12	0.602142259
13	0.5959155733
14	0.5899577223
15	0.5839748273
16	0.5780707132
17	0.5723700996
18	0.5666917306
19	0.5611624753
20	0.5557846332
21	0.5503853463
22	0.5451879603
23	0.5399778774
24	0.5348384773
25	0.5298301453
26	0.5249432338
27	0.5201025111
28	0.5153100766
29	0.5106144186
30	0.5063510554
31	0.5018263558
32	0.4974387229
33	0.493071635
34	0.4888894021
35	0.4846281384
36	0.4804014664
37	0.4763274072
38	0.4722362521
39	0.4682257775
40	0.4642770878
41	0.4606923596
42	0.4567972069
43	0.4533358987
44	0.449642147
45	0.4460140294
46	0.4423965092
47	0.4388504716
48	0.435386564
49	0.4319831417
50	0.4285776199
51	0.4253031663
52	0.4220021691
53	0.4187465108
54	0.4158369934
55	0.4127162774
56	0.4096519227
57	0.4065940163
58	0.4036474329
59	0.4006589347
60	0.3977268978
61	0.3948339014
62	0.39200244
63	0.3891936981
64	0.3864254463
65	0.3836961851
66	0.3810020403
67	0.3783845769
68	0.3760406969
69	0.3735413797
70	0.3710162688
71	0.3685920084
72	0.3661146109
73	0.3637168441
74	0.3612978824
75	0.3589704484
76	0.3566501627
77	0.3543636188
78	0.3521167652
79	0.3499067777
80	0.3477003393
81	0.3455376402
82	0.3434193304
83	0.3413078939
84	0.3392660405
85	0.3372514305
86	0.3352434688
87	0.3332740977
88	0.3313251717
89	0.329428483
90	0.3275216967
91	0.3256287321
92	0.3237964527
93	0.3219755705
94	0.3201962783
95	0.3184144116
96	0.3167044025
97	0.3150159881
98	0.3133195007
99	0.3116671026
