iter	Passed	Remaining
0	2	220
1	6	308
2	8	265
3	9	235
4	11	222
5	13	214
6	15	205
7	17	198
8	19	198
9	21	195
10	23	189
11	25	184
12	27	180
13	28	175
14	30	170
15	31	166
16	34	166
17	38	175
18	42	179
19	45	182
20	47	179
21	50	180
22	53	179
23	55	176
24	58	174
25	61	174
26	64	173
27	67	173
28	70	172
29	74	172
30	77	173
31	80	171
32	83	169
33	86	167
34	89	165
35	91	162
36	94	160
37	97	159
38	100	156
39	104	156
40	108	155
41	111	154
42	114	151
43	116	148
44	119	145
45	121	142
46	122	138
47	124	134
48	128	133
49	131	131
50	134	129
51	137	126
52	141	125
53	146	124
54	150	123
55	153	120
56	155	117
57	158	114
58	160	111
59	162	108
60	164	105
61	167	102
62	169	99
63	174	98
64	177	95
65	180	93
66	182	90
67	184	86
68	189	85
69	191	82
70	195	79
71	198	77
72	201	74
73	205	72
74	208	69
75	212	67
76	216	64
77	219	62
78	222	59
79	226	56
80	230	54
81	232	51
82	236	48
83	241	46
84	245	43
85	248	40
86	251	37
87	254	34
88	257	31
89	260	28
90	262	26
91	265	23
92	269	20
93	278	17
94	280	14
95	283	11
96	286	8
97	289	5
98	291	2
99	293	0
